(Prefix (1092,1),(208,1)	
- (304,1)	
-2 (1017,1)	
1 (1356,1),(2654,1)	
1's (1437,1)	
1d (1480,1)	
1s (1513,1)	
24 (679,1)	
25% (1287,1)	
2D (2022,1)	
3-Digit (2094,1)	
30 (1141,1)	
3D (892,1)	
3Sum (15,1),(923,1)	
4Sum (454,1),(18,1)	
60 (1010,1)	
69 (1323,1)	
7 (504,1)	
A (2119,1)	
AND (1835,1)	
Absolute (1749,1),(388,1)	
Account (1587,1)	
Achievable (1601,1)	
Actors (1050,1)	
Acyclic (2192,1)	
Add (623,1),(1785,1),(1936,1),(241,1),(2508,1)	
Adding (2135,1)	
Addition (592,1),(2457,1)	
Additions (2645,1)	
Adjacent (1047,1),(1209,1),(1850,1),(2246,1)	
Advantage (870,1)	
After (1377,1),(1465,1),(1722,1),(2400,1),(2569,1),(2301,1),(1003,1),(1946,1),(2011,1),(2202,1),(2231,1),(1799,1),(2598,1),(2507,1)	
Airplane (1227,1)	
Alike (1704,1)	
All (1466,1),(1781,1),(2092,1),(2115,1),(1305,1),(1415,1),(1576,1),(2133,1),(894,1),(1437,1),(1503,1),(1723,1),(1910,1),(2155,1),(847,1),(1844,1),(2063,1),(2508,1),(2654,1),(432,1)	
Allocation (1386,1)	
Allocator (2502,1)	
Alphabet (1309,1)	
Alternating (1864,1),(1758,1)	
Amount (2303,1)	
Anagram (1347,1),(2186,1)	
Anagrams (2273,1)	
Analysis (1070,1)	
Ancestor (1026,1)	
Ant (1916,1)	
Appear (2351,1),(1967,1)	
Apply (1357,1),(2288,1),(2460,1)	
Applying (2530,1),(1625,1)	
Appropriate (825,1)	
Are (2455,1),(1704,1)	
Area (1637,1),(812,1),(892,1)	
Arithmetic (1502,1),(1630,1),(2367,1)	
Arrangement (2097,1)	
Array (1929,1),(1969,1),(2009,1),(2012,1),(2108,1),(2210,1),(2357,1),(153,1),(421,1),(410,1),(1480,1),(1558,1),(1664,1),(2089,1),(2386,1),(1408,1),(1752,1),(1877,1),(2496,1),(1095,1),(1338,1),(1822,1),(1961,1),(1330,1),(1646,1),(2111,1),(1569,1),(1389,1),(1671,1),(2122,1),(1187,1),(1712,1),(1998,1),(2221,1),(2294,1),(2515,1),(2584,1),(2625,1),(1675,1),(384,1),(238,1),(2562,1),(2610,2),(2654,1),(2155,1)	
Array-Form (989,1)	
Arrays (2040,1),(2338,1),(2499,1),(2657,1),(349,1),(4,1)	
Arrive (1976,1)	
Article (1148,1)	
At (395,1),(902,1)	
Atlantic (417,1)	
Attendance (551,1)	
Attended (1633,1)	
Authentication (1797,1)	
Average (1491,1),(1701,1),(1792,1),(2265,1)	
Avoid (1488,1),(1576,1)	
BST (449,1)	
Bad (2364,1),(278,1)	
Bags (2551,1)	
Balanced (1221,1)	
Bananas (875,1)	
Base (1017,1),(504,1)	
Be (2511,1)	
Beams (2125,1)	
Beans (2171,1)	
Beautiful (667,1),(2070,1),(2478,1),(2588,1)	
Before (1503,1),(2412,1)	
Belong (1282,1)	
Best (123,1),(1515,1),(2347,1),(714,1)	
Between (1344,1),(1913,1),(2055,1),(2121,1)	
Binary (2609,1),(2641,1),(401,1),(919,1),(951,1),(173,1),(2380,1),(111,1),(1864,1),(2458,1),(2476,1),(1457,1),(1758,1),(108,1),(669,1),(236,1),(823,1),(889,1),(104,1),(1145,1),(1680,1),(331,1),(1284,1),(144,1),(2311,1),(96,1),(1545,1),(199,1),(654,1),(67,1),(863,1),(1361,1),(1372,1)	
Bits (190,1),(338,1),(693,1)	
Bitwise (201,1),(2683,1),(898,1),(982,1)	
Board (2549,1)	
Boats (881,1)	
Bomb (1652,1)	
Bonus (577,1)	
Bookcase (1105,1)	
Boolean (1106,1)	
Border (1034,1)	
Bottles (1518,1)	
